Parent Task,Subtask ID,Subtask Name,Status,End Date,Assignee,Notes,Comments
Finish Trim,trim-passthrough,Trim Passthrough,scheduled,,,"1. Casing must be same thickness all around for equipment install. 2. Inside casing is 3/4"". 3. Outside casing is 1/2"" - need to plane 3/4"" to 1/2"" (Dave to provide planer). 4. Trim height is 35 7/8"" - can be cut to 30"" to fit opening. Kat to reach out to Crest Mechanical. 5. Opening width is 47 3/4"" - can be trimmed for tighter fit (site opening is 49"").",
Finish Trim,adjust-hallway-openings,Adjust Hallway Opening Heights,scheduled,,,"1. Kitchen to storage: 4 1/2"" from ceiling in small storage room to finished opening height. 2. Storage to back door: 4 1/2"" from ceiling from pantry side to finished opening height. 3. Locations marked in pencil on openings, left side at top.",
Finish Trim,kitchen-crown-molding,Kitchen Crown Molding,scheduled,,,1. Need to figure out how to handle the sagging joist. 2. Idea: can handle it by floating the ceiling from chase to the dip over the door. Depends on HVAC register adjustment.,
Finish Trim,laundry-crown-molding,Laundry Crown Molding,scheduled,,,Depends on HVAC register adjustment.,
Finish Trim,low-registers,Low Registers,scheduled,,,"1. Registers in laundry and storage room may be too low for crown molding. 2. Need to verify once crown is on site. 3. If so, HVAC can be scheduled for 1/22 or 1/23 - confirmed we cannot adjust this ourselves.",
Finish Trim,kitchen-main-door,Kitchen Main Door,scheduled,,,"1. Light switch is so close to casing - need to case around light switch. 2. Need reveal on door casing (currently flush) - reveal should match standard reveal (e.g., match windows reveal).",
Finish Trim,baseboard-install-scupernong,Install Baseboard in Scupernong,scheduled,,,Requires Scupernong drywall and paint complete first (see finish-drywall and painting tasks).,
Install Doors,main-kitchen-door,Main Kitchen Door,pending,,,1. Hinges to be delivered 1/22. 2. Door is in the garage.,
Install Doors,install-back-door,Install Back Door,pending,,,1. Door is in the garage. 2. Install with Antique Bronze hinges. 3. Install existing antique bronze electronic deadbolt and door knob provided by owner.,
Install Doors,hvac-door,HVAC Door,pending,,,"1. Install existing 32"" door with jamb. 2. Same casing as main kitchen door.",
Crest Installation,verify-install-time,Verify Install Time,pending,,Brandon,,
Finish Plumbing,schedule-finish-plumbing,Schedule Finish Plumbing,pending,,Brandon,,
Finish Plumbing,finish-plumbing-work,Finish Plumbing,pending,,Chris Bland,,
Finish Plumbing,install-handsink-laundry,Install Existing Handsink in Laundry Room,pending,,Chris Bland,Not part of Crest order.,
Kitchen Baseboard,schedule-baseboard-install,Schedule Baseboard Install,pending,,Brandon,,
Kitchen Baseboard,baseboard-install,Baseboard Install,pending,,Jerum,,
Finish Electrical,move-mop-sink-receptacle,Move Receptacle Over Mop Sink,pending,2026-01-26,Dion Cahoon,Move to left of hand sink.,
Finish Electrical,install-coach-lamp,Install Coach Lamp,pending,2026-01-26,Dion Cahoon,,
Finish Electrical,install-light-string-receptacle,Install Receptacle for Light Strings,pending,2026-01-26,Dion Cahoon,For light strings that criss-cross to firepit.,
Finish Electrical,add-tv-receptacle,Add Receptacle for TV Over Passthrough,pending,2026-01-26,Dion Cahoon,,
Finish Electrical,finish-lighting-install,Finish Lighting Install,pending,2026-01-26,Dion Cahoon,,
Finish Electrical,schedule-electrical-signoff,Schedule Electrical Sign-off,pending,,Brandon,,
Finish Electrical,electrical-signoff,Electrical Sign-off,pending,,Craig Davenport,,
Finish Electrical,connect-passthrough-heat-lamp,Connect Passthrough Heat Lamp,pending,,Dion Cahoon,Must be done after Crest installation. Heat lamp is part of passthrough equipment.,
Propane,install-propane-line,Install Propane Line for Gas Range,needs-scheduled,,Dion Cahoon,1. Installed in secure box in wall to right of existing stainless steel wall covering. 2. Must be installed before remaining stainless is installed on Friday 1/23.,
Propane,propane-line-remediation,Propane Line Remediation,scheduled,,Beach Gas Appliance and Propane,Dave coordinating and responsible. Dependency for siding install.,
Painting,paint-kitchen,Paint Kitchen,scheduled,,Eliseo,Requires finish-drywall-kitchen complete first.,
Painting,paint-scupernong,Paint Scupernong,scheduled,,Eliseo,Requires finish-drywall-scupernong complete first.,
Painting,paint-lobby-passthrough,Paint Lobby Passthrough Wall,pending,,Eliseo,,
Painting,touch-up-ceiling,Touch Up Ceiling Damage (as needed),pending,,Eliseo,,
Finish Drywall,finish-drywall-kitchen,Finish Drywall Kitchen,pending,,Eliseo,,
Finish Drywall,finish-drywall-scupernong,Finish Drywall Scupernong,pending,,Eliseo,,
Kitchen Put-Back,install-dishwasher,Install Dishwasher,pending,,Dion Cahoon,,
Kitchen Put-Back,install-ovens,Install Ovens,pending,,,,
Kitchen Put-Back,move-appliances,"Move Range, Freezers and Refrigerators",pending,,,,
Siding,schedule-siding,Schedule Siding,pending,,Brandon,,
Siding,siding-work,Siding,pending,,Sergio,,
Inspection,schedule-town-manteo,Schedule Town of Manteo,pending,,Brandon,,
Inspection,schedule-dare-county-health,Schedule Dare County Health,pending,,Brandon,,
Inspection,town-manteo-inspection,Town of Manteo,pending,,,,
Inspection,dare-county-health-inspection,Dare County Health,pending,,,,
Purchasing,upper-cabinet-handles,Upper Cabinet Handles,pending,,,,
Purchasing,doorknob-back-door,Doorknob for Back Door,pending,,,,
Purchasing,doorknob-hinges-hvac,Doorknob and Hinges for HVAC Closet,pending,,,,
Purchasing,retractable-extension-cord,Retractable Extension Cord,pending,,,,
Purchasing,receptacle-light-switch-covers,Receptacle and Light Switch Covers,pending,,,Get count.,
Misc Equipment Install,install-pot-rack,Install Pot Rack,pending,,,,
Upper Cabinet Install,upper-cabinet-delivery,Upper Cabinet Delivery,confirmed,,,,
Upper Cabinet Install,schedule-upper-cabinet-install,Schedule Installation,pending,,Brandon,,
Project Finish,schedule-final-punch,Schedule Final Punch Walkthrough,pending,,Brandon,Coordinate with owner for walkthrough date/time.,
Project Finish,final-punch-walkthrough,Final Punch Walkthrough,pending,,Dave,Owner walks job with GC to identify any remaining items. Document all punch items.,
Project Finish,punch-remediation,Punch List Remediation,pending,,Brandon,GC addresses all documented punch items.,
Project Finish,final-acceptance,Final Acceptance,pending,,Dave,Owner confirms all punch items resolved. Project complete.,